table_id,Category,Universe,Table Name,Measure
B00001,Unweighted Count,total population,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,Individuals
B00002,Unweighted Count,housing units,UNWEIGHTED SAMPLE HOUSING UNITS,Housing Units
B01001,Age-Sex,total population,SEX BY AGE,Individuals
B01001A,Age-Sex,people who are white alone,SEX BY AGE,Individuals
B01001A,Age-Sex,white alone population,SEX BY AGE,Individuals
B01001B,Age-Sex,black or african american alone,SEX BY AGE,Individuals
B01001B,Age-Sex,black or african american alone population,SEX BY AGE,Individuals
B01001C,Age-Sex,american indian and alaska native alone population,SEX BY AGE,Individuals
B01001C,Age-Sex,people who are american indian and alaska native alone,SEX BY AGE,Individuals
B01001D,Age-Sex,asian alone population,SEX BY AGE,Individuals
B01001D,Age-Sex,people who are asian alone,SEX BY AGE,Individuals
B01001E,Age-Sex,native hawaiian and other pacific islander alone population,SEX BY AGE,Individuals
B01001E,Age-Sex,people who are native hawaiian and other pacific islander alone,SEX BY AGE,Individuals
B01001F,Age-Sex,people who are some other race alone,SEX BY AGE,Individuals
B01001F,Age-Sex,some other race alone population,SEX BY AGE,Individuals
B01001G,Age-Sex,people who are two or more races,SEX BY AGE,Individuals
B01001G,Age-Sex,two or more races population,SEX BY AGE,Individuals
B01001H,Age-Sex,"white alone, not hispanic or latino population",SEX BY AGE,Individuals
B01001I,Age-Sex,hispanic or latino population,SEX BY AGE,Individuals
B01002,Age-Sex,total population,MEDIAN AGE BY SEX,Median Age
B01002A,Age-Sex,people who are white alone,MEDIAN AGE BY SEX,Median Age
B01002A,Age-Sex,white alone population,MEDIAN AGE BY SEX,Median Age
B01002B,Age-Sex,black or african american alone,MEDIAN AGE BY SEX,Median Age
B01002B,Age-Sex,black or african american alone population,MEDIAN AGE BY SEX,Median Age
B01002C,Age-Sex,american indian and alaska native alone population,MEDIAN AGE BY SEX,Median Age
B01002C,Age-Sex,people who are american indian and alaska native alone,MEDIAN AGE BY SEX,Median Age
B01002D,Age-Sex,asian alone population,MEDIAN AGE BY SEX,Median Age
B01002D,Age-Sex,people who are asian alone,MEDIAN AGE BY SEX,Median Age
B01002E,Age-Sex,native hawaiian and other pacific islander alone population,MEDIAN AGE BY SEX,Median Age
B01002E,Age-Sex,people who are native hawaiian and other pacific islander alone,MEDIAN AGE BY SEX,Median Age
B01002F,Age-Sex,people who are some other race alone,MEDIAN AGE BY SEX,Median Age
B01002F,Age-Sex,some other race alone population,MEDIAN AGE BY SEX,Median Age
B01002G,Age-Sex,people who are two or more races,MEDIAN AGE BY SEX,Median Age
B01002G,Age-Sex,two or more races population,MEDIAN AGE BY SEX,Median Age
B01002H,Age-Sex,"white alone, not hispanic or latino population",MEDIAN AGE BY SEX,Median Age
B01002I,Age-Sex,hispanic or latino population,MEDIAN AGE BY SEX,Median Age
B01003,Age-Sex,total population,TOTAL POPULATION,Individuals
B02001,Race,total population,RACE,Individuals
B02005,Race,people who are american indian and alaska native alone and people with no tribe reported,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,Individuals
B02006,Race,total asian alone population,ASIAN ALONE BY SELECTED GROUPS,Individuals
B02007,Race,total native hawaiian and other pacific islander alone population,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,Individuals
B02008,Race,white alone or in combination with one or more other races,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Individuals
B02009,Race,black or african american alone or in combination with one or more other races,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Individuals
B02010,Race,american indian and alaska native alone or in combination with one or more other races,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Individuals
B02010,Race,people who are american indian or alaska native alone or in combination with one or more other races,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Individuals
B02011,Race,asian alone or in combination with one or more other races,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Individuals
B02012,Race,native hawaiian and other pacific islander alone or in combination with one or more other races,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Individuals
B02013,Race,some other race alone or in combination with one or more other races,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Individuals
B02014,Race,people who are american indian and alaska native alone and people with no tribe reported,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,Individuals
B02015,Race,total asian alone population,ASIAN ALONE BY SELECTED GROUPS,Individuals
B02016,Race,total native hawaiian and other pacific islander alone population,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,Individuals
B02017,Race,total aian alone or in any combination population (the total groups tallied),AMERICAN INDIAN AND ALASKA NATIVE  ALONE OR IN ANY COMBINATION BY SELECTED TRIBAL GROUPINGS,Individuals
B02018,Race,total asian alone or in any combination population (the total groups tallied),ASIAN ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Individuals
B02019,Race,total nhpi alone or in any combination population (the total groups tallied),NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Individuals
B03001,Hispanic Origin,total population,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,Individuals
B03002,Hispanic Origin,total population,HISPANIC OR LATINO ORIGIN BY RACE,Individuals
