B00001,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,,,,,,,,
B00001,dimensions,,,,,,,,
B00001,values,['Total '],,,,,,,
B00002,UNWEIGHTED SAMPLE HOUSING UNITS,,,,,,,,
B00002,dimensions,,,,,,,,
B00002,values,['Total'],,,,,,,
B01001,SEX BY AGE,,,,,,,,
B01001,dimensions,,Sex,Age,,,,,
B01001,values,['Total:'],"['Male:', 'Female:']","['', '50 to 54 years', '18 and 19 years', '70 to 74 years', '55 to 59 years', '45 to 49 years', '25 to 29 years', '30 to 34 years', '5 to 9 years', '20 years', '60 and 61 years', '21 years', '65 and 66 years', '35 to 39 years', '62 to 64 years', '15 to 17 years', '85 years and over', '10 to 14 years', '40 to 44 years', '75 to 79 years', 'Under 5 years', '80 to 84 years', '22 to 24 years', '67 to 69 years']",,,,,
B01001A,SEX BY AGE ,,,,,,,,
B01001A,dimensions,,Sex,Age,,,,,
B01001A,values,['Total:'],"['Male:', 'Female:']","['5 to 9 years ', '45 to 54 years ', '30 to 34 years ', '15 to 17 years ', 'Under 5 years ', '', '55 to 64 years ', '20 to 24 years ', '18 and 19 years ', '10 to 14 years ', '25 to 29 years ', '85 years and over ', '35 to 44 years ', '65 to 74 years ', '75 to 84 years ']",,,,,
B01001B,SEX BY AGE ,,,,,,,,
B01001B,dimensions,,Sex,Age,,,,,
B01001B,values,['Total:'],"['Male:', 'Female:']","['5 to 9 years ', '45 to 54 years ', '30 to 34 years ', '15 to 17 years ', 'Under 5 years ', '', '55 to 64 years ', '20 to 24 years ', '18 and 19 years ', '10 to 14 years ', '25 to 29 years ', '85 years and over ', '35 to 44 years ', '65 to 74 years ', '75 to 84 years ']",,,,,
B01001C,SEX BY AGE ,,,,,,,,
B01001C,dimensions,,Sex,Age,,,,,
B01001C,values,['Total:'],"['Male:', 'Female:']","['5 to 9 years ', '45 to 54 years ', '30 to 34 years ', '15 to 17 years ', 'Under 5 years ', '', '55 to 64 years ', '20 to 24 years ', '18 and 19 years ', '10 to 14 years ', '25 to 29 years ', '85 years and over ', '35 to 44 years ', '65 to 74 years ', '75 to 84 years ']",,,,,
B01001D,SEX BY AGE ,,,,,,,,
B01001D,dimensions,,Sex,Age,,,,,
B01001D,values,['Total:'],"['Male:', 'Female:']","['5 to 9 years ', '45 to 54 years ', '30 to 34 years ', '15 to 17 years ', 'Under 5 years ', '', '55 to 64 years ', '20 to 24 years ', '18 and 19 years ', '10 to 14 years ', '25 to 29 years ', '85 years and over ', '35 to 44 years ', '65 to 74 years ', '75 to 84 years ']",,,,,
B01001E,SEX BY AGE ,,,,,,,,
B01001E,dimensions,,Sex,Age,,,,,
B01001E,values,['Total:'],"['Male:', 'Female:']","['5 to 9 years ', '45 to 54 years ', '30 to 34 years ', '15 to 17 years ', 'Under 5 years ', '', '55 to 64 years ', '20 to 24 years ', '18 and 19 years ', '10 to 14 years ', '25 to 29 years ', '85 years and over ', '35 to 44 years ', '65 to 74 years ', '75 to 84 years ']",,,,,
B01001F,SEX BY AGE ,,,,,,,,
B01001F,dimensions,,Sex,Age,,,,,
B01001F,values,['Total:'],"['Male:', 'Female:']","['5 to 9 years ', '45 to 54 years ', '30 to 34 years ', '15 to 17 years ', 'Under 5 years ', '', '55 to 64 years ', '20 to 24 years ', '18 and 19 years ', '10 to 14 years ', '25 to 29 years ', '85 years and over ', '35 to 44 years ', '65 to 74 years ', '75 to 84 years ']",,,,,
B01001G,SEX BY AGE ,,,,,,,,
B01001G,dimensions,,Sex,Age,,,,,
B01001G,values,['Total:'],"['Male:', 'Female:']","['5 to 9 years ', '45 to 54 years ', '30 to 34 years ', '15 to 17 years ', 'Under 5 years ', '', '55 to 64 years ', '20 to 24 years ', '18 and 19 years ', '10 to 14 years ', '25 to 29 years ', '85 years and over ', '35 to 44 years ', '65 to 74 years ', '75 to 84 years ']",,,,,
B01001H,SEX BY AGE ,,,,,,,,
B01001H,dimensions,,Sex,Age,,,,,
