q_id,Category,Universe,Question Name
B00001,Unweighted Count,total population,UNWEIGHTED SAMPLE COUNT OF THE POPULATION
B00002,Unweighted Count,housing units,UNWEIGHTED SAMPLE HOUSING UNITS
B01001,Age-Sex,total population,SEX BY AGE
B01001A,Age-Sex,people who are white alone,SEX BY AGE 
B01001B,Age-Sex,black or african american alone,SEX BY AGE 
B01001C,Age-Sex,people who are american indian and alaska native alone,SEX BY AGE 
B01001D,Age-Sex,people who are asian alone,SEX BY AGE 
B01001E,Age-Sex,people who are native hawaiian and other pacific islander alone,SEX BY AGE 
B01001F,Age-Sex,people who are some other race alone,SEX BY AGE 
B01001G,Age-Sex,people who are two or more races,SEX BY AGE 
B01001H,Age-Sex,"white alone, not hispanic or latino population",SEX BY AGE 
B01001I,Age-Sex,hispanic or latino population,SEX BY AGE 
B01002,Age-Sex,total population,MEDIAN AGE BY SEX
B01002A,Age-Sex,people who are white alone,MEDIAN AGE BY SEX 
B01002B,Age-Sex,black or african american alone,MEDIAN AGE BY SEX 
B01002C,Age-Sex,people who are american indian and alaska native alone,MEDIAN AGE BY SEX 
B01002D,Age-Sex,people who are asian alone,MEDIAN AGE BY SEX 
B01002E,Age-Sex,people who are native hawaiian and other pacific islander alone,MEDIAN AGE BY SEX 
B01002F,Age-Sex,people who are some other race alone,MEDIAN AGE BY SEX 
B01002G,Age-Sex,people who are two or more races,MEDIAN AGE BY SEX 
B01002H,Age-Sex,"white alone, not hispanic or latino population",MEDIAN AGE BY SEX 
B01002I,Age-Sex,hispanic or latino population,MEDIAN AGE BY SEX 
B01003,Age-Sex,total population,TOTAL POPULATION
B02001,Race,total population,RACE
B02008,Race,white alone or in combination with one or more other races,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
B02009,Race,black or african american alone or in combination with one or more other races,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
B02010,Race,people who are american indian or alaska native alone or in combination with one or more other races,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
B02011,Race,asian alone or in combination with one or more other races,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
B02012,Race,native hawaiian and other pacific islander alone or in combination with one or more other races,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
B02013,Race,some other race alone or in combination with one or more other races,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES
B02014,Race,people who are american indian and alaska native alone and people with no tribe reported,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS
B02015,Race,total asian alone population,ASIAN ALONE BY SELECTED GROUPS
B02016,Race,total native hawaiian and other pacific islander alone population,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS
B02017,Race,total aian alone or in any combination population (the total groups tallied),AMERICAN INDIAN AND ALASKA NATIVE  ALONE OR IN ANY COMBINATION BY SELECTED TRIBAL GROUPINGS
B02018,Race,total asian alone or in any combination population (the total groups tallied),ASIAN ALONE OR IN ANY COMBINATION BY SELECTED GROUPS
B02019,Race,total nhpi alone or in any combination population (the total groups tallied),NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN ANY COMBINATION BY SELECTED GROUPS
C02003,Race,total population,DETAILED RACE
B03001,Hispanic Origin,total population,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN
B03002,Hispanic Origin,total population,HISPANIC OR LATINO ORIGIN BY RACE
B03003,Hispanic Origin,total population,HISPANIC OR LATINO ORIGIN
B04004,Ancestry,people reporting single ancestry,PEOPLE REPORTING SINGLE ANCESTRY
B04005,Ancestry,people reporting multiple ancestries,PEOPLE REPORTING MULTIPLE ANCESTRY
B04006,Ancestry,total population,PEOPLE REPORTING ANCESTRY
B04007,Ancestry,total population,ANCESTRY
B05001,Foreign Birth,total population in the united states,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES
B05001PR,Foreign Birth,total population in puerto rico,NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO
B05002,Foreign Birth,total population,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
B05003,Foreign Birth,total population,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS
B05003A,Foreign Birth,people who are white alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS 
B05003B,Foreign Birth,black or african american alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS 
B05003C,Foreign Birth,people who are american indian and alaska native alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS 
B05003D,Foreign Birth,people who are asian alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS 
B05003E,Foreign Birth,people who are native hawaiian and other pacific islander alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS 
B05003F,Foreign Birth,people who are some other race alone,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS 
B05003G,Foreign Birth,people who are two or more races,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS 
B05003H,Foreign Birth,"white alone, not hispanic or latino population",SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS 
B05003I,Foreign Birth,hispanic or latino population,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS 
B05004,Foreign Birth,total population,MEDIAN AGE BY NATIVITY AND CITIZENSHIP STATUS BY SEX
B05005,Foreign Birth,population born outside the united states,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES
B05005PR,Foreign Birth,population born outside puerto rico,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO
B05006,Foreign Birth,foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES
B05006PR,Foreign Birth,foreign-born population in puerto rico excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN PUERTO RICO
B05007,Foreign Birth,foreign-born population,PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION
