Universe,Measure,,,,,,,,,,
American Indian And Alaska Native Alone Civilian Noninstitutionalized Population,Individuals,Race,American Indian And Alaska Native Alone,Age,16 years and over,Employment Status,Not In Armed Forces,Institutionalization,Noninstutionalized,,
American Indian And Alaska Native Alone Population 1 Year And Over,Individuals,Race,American Indian And Alaska Native Alone,Age,1 year and over,,,,,,
American Indian And Alaska Native Alone Population 15 To 54 Years,Individuals,Race,American Indian And Alaska Native Alone,Age,15 to 54 years,,,,,,
American Indian And Alaska Native Alone Population 15 Years And Over,Individuals,Race,American Indian And Alaska Native Alone,Age,15 Years and over,,,,,,
American Indian And Alaska Native Alone Population 16 Years And Over,Individuals,Race,American Indian And Alaska Native Alone,Age,16 Years and over,,,,,,
American Indian And Alaska Native Alone Population 16 Years And Over With Earnings In The Past 12 Months,Individuals,Race,American Indian And Alaska Native Alone,Age,16 Years and over,Income,With Earnings,,,,
American Indian And Alaska Native Alone Population 25 Years And Over,Individuals,Race,American Indian And Alaska Native Alone,Age,25 Years and over,,,,,,
American Indian And Alaska Native Alone Population 3 Years And Over,Individuals,Race,American Indian And Alaska Native Alone,Age,3 Years and over,,,,,,
American Indian And Alaska Native Alone Population 5 Years And Over,Individuals,Race,American Indian And Alaska Native Alone,Age,5 Years and over,,,,,,
American Indian And Alaska Native Alone Population For Whom Poverty Status Is Determined,Individuals,Race,American Indian And Alaska Native Alone,,,,,,,,
American Indian And Alaska Native Alone Population In Puerto Rico,Individuals,Race,American Indian And Alaska Native Alone,Location,Puerto Rico,,,,,,
American Indian And Alaska Native Alone Population In The United States,Individuals,Race,American Indian And Alaska Native Alone,Location,United States,,,,,,
American Indian And Alaska Native Alone Women 15 To 50 Years,Individuals,Race,American Indian And Alaska Native Alone,Sex,Female,Age,15 to 50 Years,,,,
American Indian And Alaska Native Alone Workers 16 Years And Over,Individuals,Race,American Indian And Alaska Native Alone,Age,16 Years and over,Labor Force Participation,In labor force,,,,
American Indian And Alaskan Native Alone Population 1 Year And Over In Puerto Rico,Individuals,Race,American Indian And Alaska Native Alone,Age,1 year and over,Location,Puerto Rico,,,,
American Indian And Alaskan Native Alone Population 1 Year And Over In The United States,Individuals,Race,American Indian And Alaska Native Alone,Age,1 year and over,Location,United States,,,,
Asian Alone Civilian Noninstitutionalized Population,Individuals,Race,Asian Alone,Age,16 years and over,Employment Status,Not In Armed Forces,Institutionalization,Noninstutionalized,,
Asian Alone Or In Combination With One Or More Other Races,Individuals,Race,Asian Alone Or In Combination With One Or More Other Races,,,,,,,,
Asian Alone Population 1 Year And Over,Individuals,Race,Asian Alone,Age,1 year and over,,,,,,
Asian Alone Population 1 Year And Over In Puerto Rico,Individuals,Race,Asian Alone,Age,1 year and over,Location,Puerto Rico,,,,
Asian Alone Population 1 Year And Over In The United States,Individuals,Race,Asian Alone,Age,1 year and over,Location,United States,,,,
Asian Alone Population 15 To 54 Years,Individuals,Race,Asian Alone,Age,15 to 54 years,,,,,,
Asian Alone Population 15 Years And Over,Individuals,Race,Asian Alone,Age,15 Years and over,,,,,,
Asian Alone Population 16 Years And Over,Individuals,Race,Asian Alone,Age,16 Years and over,,,,,,
Asian Alone Population 16 Years And Over With Earnings In The Past 12 Months,Individuals,Race,Asian Alone,Age,16 Years and over,Income,With Earnings,,,,
Asian Alone Population 25 Years And Over,Individuals,Race,Asian Alone,Age,25 Years and over,,,,,,
Asian Alone Population 3 Years And Over,Individuals,Race,Asian Alone,Age,3 Years and over,,,,,,
Asian Alone Population 5 Years And Over,Individuals,Race,Asian Alone,Age,5 Years and over,,,,,,
Asian Alone Population For Whom Poverty Status Is Determined,Individuals,Race,Asian Alone,,,,,,,,
Asian Alone Population In Puerto Rico,Individuals,Race,Asian Alone,Location,Puerto Rico,,,,,,
Asian Alone Population In The United States,Individuals,Race,Asian Alone,Location,United States,,,,,,
Asian Alone Women 15 To 50 Years,Individuals,Race,Asian Alone,Sex,Female,Age,15 to 50 Years,,,,
Asian Alone Workers 16 Years And Over,Individuals,Race,Asian Alone,Age,16 Years and over,Labor Force Participation,In labor force,,,,
Black Or African American Alone,Individuals,Race,Black Or African American Alone,,,,,,,,
Black Or African American Alone Civilian Noninstitutionalized Population,Individuals,Race,Black Or African American Alone,Age,16 years and over,Employment Status,Not In Armed Forces,Institutionalization,Noninstutionalized,,
Black Or African American Alone Or In Combination With One Or More Other Races,Individuals,Race,Black Or African American Alone Or In Combination With One Or More Other Races,,,,,,,,
Black Or African American Alone Population 1 Year And Over,Individuals,Race,Black Or African American Alone,Age,1 year and over,,,,,,
Black Or African American Alone Population 1 Year And Over In Puerto Rico,Individuals,Race,Black Or African American Alone,Age,1 year and over,Location,Puerto Rico,,,,
Black Or African American Alone Population 1 Year And Over In The United States,Individuals,Race,Black Or African American Alone,Age,1 year and over,Location,United States,,,,
Black Or African American Alone Population 15 To 54 Years,Individuals,Race,Black Or African American Alone,Age,15 to 54 years,,,,,,
Black Or African American Alone Population 15 Years And Over,Individuals,Race,Black Or African American Alone,Age,15 Years and over,,,,,,
Black Or African American Alone Population 16 Years And Over,Individuals,Race,Black Or African American Alone,Age,16 Years and over,,,,,,
Black Or African American Alone Population 16 Years And Over With Earnings In The Past 12 Months,Individuals,Race,Black Or African American Alone,Age,16 Years and over,Income,With Earnings,,,,
Black Or African American Alone Population 25 Years And Over,Individuals,Race,Black Or African American Alone,Age,25 Years and over,,,,,,
Black Or African American Alone Population 3 Years And Over,Individuals,Race,Black Or African American Alone,Age,3 Years and over,,,,,,
